iter	MultiClass
295	0.5350476447
296	0.5339193991
297	0.5331042491
298	0.532099837
299	0.5313181891
300	0.529945307
301	0.5286911678
302	0.5282179501
303	0.5276301394
304	0.5263686399
305	0.5257310179
306	0.5240438733
307	0.523159396
308	0.522180484
309	0.5213798632
310	0.5204973392
311	0.5198205476
312	0.5192506664
313	0.5188291312
314	0.5182347399
315	0.5170873971
316	0.5162177444
317	0.5152921361
318	0.5142999996
319	0.5135642746
320	0.5129513584
321	0.5125670495
322	0.5118268917
323	0.5105984362
324	0.5097371876
325	0.5090335189
326	0.5077245051
327	0.5071375823
328	0.5068033267
329	0.5061186996
330	0.5053636451
331	0.5042727138
332	0.5034507403
333	0.5028108483
334	0.5019841807
335	0.5010373904
336	0.4996101544
337	0.4979335396
338	0.4973089413
339	0.4965967975
340	0.4958660656
341	0.4954534944
342	0.4948579933
343	0.4933667523
344	0.4928126824
345	0.4920921075
346	0.4913477176
347	0.4905366658
348	0.4896859112
349	0.4893603499
350	0.4881036742
351	0.487347865
352	0.4867378997
353	0.4853906965
354	0.4845420228
355	0.4839197717
356	0.4826178906
357	0.481501548
358	0.4800993553
359	0.4792983143
360	0.4790339533
361	0.4785898367
362	0.4776088919
363	0.4768506798
364	0.4759748489
365	0.4753716314
366	0.4737517573
367	0.4728322514
368	0.4717296434
369	0.4709899816
370	0.4702809042
371	0.4698003512
372	0.4689920586
373	0.468323267
374	0.46730347
375	0.4662706209
376	0.4653276377
377	0.4646936253
378	0.4637633297
379	0.4629839784
380	0.4624792596
381	0.4612866998
382	0.4608793053
383	0.4605257294
384	0.4596876247
385	0.458672607
386	0.4582901734
387	0.4578307654
388	0.4568165468
389	0.4558556182
390	0.4550225611
391	0.4546112976
392	0.4537497513
393	0.4529563027
394	0.4519512163
395	0.4512269187
396	0.4504747893
397	0.4499749222
398	0.449428644
399	0.4486379401
400	0.4482523683
401	0.4475025612
402	0.4470876358
403	0.4463683961
404	0.445539968
405	0.4449568255
406	0.4440618408
407	0.4432732532
408	0.4426518819
409	0.4414851267
410	0.4407838637
411	0.4403009356
412	0.439385682
413	0.4388341235
414	0.4384841174
415	0.4377189997
416	0.4369620936
417	0.4361323394
418	0.4355049019
419	0.4350106341
420	0.4345694732
421	0.4337423429
422	0.4327973204
423	0.4319240501
424	0.4313624075
425	0.4310651099
426	0.4301730729
427	0.4297238048
428	0.4292572373
429	0.4286403973
430	0.4277748454
431	0.4269835519
432	0.4264594654
433	0.4258199635
434	0.42534371
435	0.4245916539
436	0.4237204485
437	0.4232857364
438	0.4225845754
439	0.4216968399
440	0.4211523175
441	0.4204166308
442	0.419611089
443	0.4188018171
444	0.4184865137
445	0.4177380104
446	0.4169709854
447	0.4162757751
448	0.4156279444
449	0.4147348485
450	0.4142642767
451	0.4132889646
452	0.4129454002
453	0.4123158248
454	0.4119827872
455	0.4113445959
456	0.4105323439
457	0.410065456
458	0.4094352791
459	0.4087597701
460	0.4084456884
461	0.4078847444
462	0.4066970655
463	0.4058648152
464	0.4054900681
465	0.4048434858
466	0.4046296748
467	0.4040859753
468	0.4035891568
469	0.4029512534
470	0.4023856165
471	0.4018169449
472	0.401393076
473	0.4006172058
474	0.4000067265
475	0.3996901332
476	0.3989476707
477	0.398622578
478	0.3980471529
479	0.3974843032
480	0.3970550713
481	0.3965524775
482	0.3961701398
483	0.3957034069
484	0.3952287168
485	0.39459587
486	0.3940238234
487	0.3933690233
488	0.3927952318
489	0.3920489543
490	0.3914738336
491	0.3911497423
492	0.3906474781
493	0.3899355955
494	0.3892419573
495	0.3884482773
496	0.3875610891
497	0.3871767055
498	0.3867565997
499	0.3863551881
500	0.3852767112
501	0.3845469404
502	0.3837401093
503	0.3830379503
504	0.3827008461
505	0.3822273013
506	0.3817967424
507	0.381120291
508	0.3803835179
509	0.3797900485
510	0.3790969951
511	0.3781114219
512	0.3776694128
513	0.3773287041
514	0.3768840164
515	0.3763065825
516	0.3756973832
517	0.3751209173
518	0.3747407652
519	0.373944992
520	0.3735493412
521	0.372803144
522	0.3724987244
523	0.3715900321
524	0.3713788053
525	0.3709297605
526	0.3705267314
527	0.3700992667
528	0.3695026496
529	0.3687100381
530	0.3681549837
531	0.367899392
532	0.3675555147
533	0.3669824412
534	0.3666818635
535	0.3663103214
536	0.3656213433
537	0.3651275943
538	0.3645885815
539	0.3639476352
540	0.3630334948
541	0.3624667766
542	0.361777968
543	0.3615707462
544	0.3611049657
545	0.360797366
546	0.360089904
547	0.359711828
548	0.3591646596
549	0.3586299315
550	0.3582855271
551	0.357494623
552	0.3570550623
553	0.356591253
554	0.3561225295
555	0.3556928994
556	0.3550434144
557	0.3544581368
558	0.3541357256
559	0.3538100065
560	0.3530667478
561	0.35243056
562	0.3518970454
563	0.3512383881
564	0.3506331632
565	0.3501075795
566	0.3497557988
567	0.3493526026
568	0.3489477006
569	0.3485707117
570	0.3478176141
571	0.3472236137
572	0.3467369695
573	0.3463497319
574	0.3459510088
575	0.3456574306
576	0.3450822542
577	0.3447306078
578	0.3442813315
579	0.3438933451
580	0.3436476701
581	0.3430778198
582	0.3427901054
583	0.3420403425
584	0.341356813
585	0.3406615204
586	0.340217026
587	0.339474204
588	0.3391375887
589	0.3389190893
590	0.3387490433
591	0.3384934854
592	0.3380344832
593	0.337657116
594	0.3369372671
595	0.3363635117
596	0.3358359463
597	0.335705497
598	0.3352449723
599	0.33456728
600	0.3338905622
601	0.3333219375
602	0.3328945071
603	0.3326258029
604	0.3323316292
605	0.3315637684
606	0.3311367419
607	0.3309426489
608	0.3304795693
609	0.3299583233
610	0.3296306652
611	0.3292839351
612	0.3287981082
613	0.3281141931
614	0.3276259129
615	0.3272159032
616	0.3267093895
617	0.3263372079
618	0.3258607317
619	0.3254821324
620	0.3249382639
621	0.3243014139
622	0.3237303011
623	0.3233457064
624	0.322462167
625	0.3219213057
626	0.3215694405
627	0.3211875305
628	0.3207853051
629	0.3204131292
630	0.3200520627
631	0.3197731829
632	0.3193196948
633	0.3188396847
634	0.3182767718
635	0.3181443462
636	0.3178429438
637	0.3174211498
638	0.3170428587
639	0.3167604806
640	0.3161644858
641	0.3158988827
642	0.3153809162
643	0.3149075422
644	0.3145232572
645	0.3144061154
646	0.3142384016
647	0.3138742908
648	0.3134046714
649	0.3132255781
650	0.3125321341
651	0.3121245479
652	0.3116512334
653	0.3113058994
654	0.3108057554
655	0.310431077
656	0.3098625419
657	0.3093428693
658	0.3086245464
659	0.3081092624
660	0.3073775998
661	0.3071798874
662	0.3067340032
663	0.3064903865
664	0.3060366646
665	0.3056875445
666	0.3054117927
667	0.3048232061
668	0.3043785266
669	0.3038436585
670	0.3036011324
671	0.3033906653
672	0.3031485685
673	0.302867102
674	0.3023287653
675	0.3020741157
676	0.3016716879
677	0.3012649904
678	0.3008036178
679	0.3006013846
680	0.3003269542
681	0.3000824873
682	0.2996326369
683	0.2993558264
684	0.2989186491
685	0.2985110432
686	0.2978955053
687	0.2974688308
688	0.297292719
689	0.2967196829
690	0.2964629152
691	0.295984616
692	0.2955653505
693	0.2950083766
694	0.2947907751
695	0.2942027798
696	0.2937900685
697	0.293224884
698	0.2930338866
699	0.2927512229
700	0.2926240808
701	0.2921310828
702	0.2918684988
703	0.2915923204
704	0.2911163211
705	0.2907948916
706	0.2902077071
707	0.2896091368
708	0.2893974072
709	0.28880001
710	0.288559486
711	0.2879620007
712	0.2873881996
713	0.287031321
714	0.2864669404
715	0.2857974479
716	0.2854573837
717	0.2852197034
718	0.2848483374
719	0.2845450437
720	0.2841157355
721	0.283767209
722	0.2833823398
723	0.2830655587
724	0.2827459938
725	0.2823495514
726	0.2818126567
727	0.2817095441
728	0.2814988577
729	0.2811338311
730	0.2809003454
731	0.280411492
732	0.2801649191
733	0.2797911859
734	0.2792943964
735	0.2790177871
736	0.2788343004
737	0.2786825678
738	0.278396043
739	0.2781751872
740	0.2780830536
741	0.2777293853
742	0.2772978535
743	0.276970521
744	0.2766924181
745	0.2762373196
746	0.2760230953
747	0.2757616561
748	0.2753237495
749	0.2750118666
750	0.2748901877
751	0.2744905589
752	0.2740082425
753	0.2736961333
754	0.2734576011
755	0.2728827731
756	0.2724340818
757	0.2722208446
758	0.271945919
759	0.2717298736
760	0.2712427548
761	0.2710341216
762	0.2705719895
763	0.2701993106
764	0.269882875
765	0.2693717575
766	0.268970787
767	0.2686187509
768	0.2682703416
769	0.2679212942
770	0.2673864721
771	0.2671599391
772	0.2668728085
773	0.2666304263
774	0.2661079104
775	0.2658566405
776	0.265589094
777	0.2650242899
778	0.2646380629
779	0.2642910689
780	0.2637463777
781	0.2634542617
782	0.2632647887
783	0.2629033644
784	0.2626007308
785	0.2623662778
786	0.262047328
787	0.2618270515
788	0.2617302576
789	0.2614234296
790	0.2612021392
791	0.2607756111
792	0.2604147464
793	0.2599367214
794	0.2596169332
795	0.2594695075
796	0.2590318652
797	0.2586482303
798	0.2582369321
799	0.2576141642
800	0.2573231701
801	0.25700203
802	0.2566974174
803	0.2564965315
804	0.2562966807
805	0.2561465817
806	0.2560151392
807	0.2554252992
808	0.2551841608
809	0.254879676
810	0.2546756232
811	0.2542265858
812	0.2538756876
813	0.2537178375
814	0.2532394898
815	0.2528377728
816	0.2527491609
817	0.2525653614
818	0.2521383892
819	0.2519735805
820	0.2517286472
821	0.2512649744
822	0.2510911956
823	0.2508462173
824	0.250604726
825	0.2501458083
826	0.249669429
827	0.2493195849
828	0.2487699261
829	0.2486243221
830	0.2483459951
831	0.2480582365
832	0.2477318342
833	0.247481608
834	0.2472768506
835	0.2471556665
836	0.2469910204
837	0.2468617003
838	0.2464445141
839	0.2463478531
840	0.246088264
841	0.2458459817
842	0.2457076274
843	0.2454892818
844	0.245360805
845	0.2451162731
846	0.2447303476
847	0.2443366707
848	0.2439558446
849	0.2436899086
850	0.243404206
851	0.2432519411
852	0.2429341447
853	0.2427094728
854	0.2424620468
855	0.2420014801
856	0.241814001
857	0.2416418258
858	0.2413787302
859	0.2410462049
860	0.2408598578
861	0.2406358061
862	0.2403724651
863	0.2400273757
864	0.2398325234
865	0.2395418829
866	0.2393826429
867	0.2392190729
868	0.238997749
869	0.2387746444
870	0.2385509729
871	0.2384085471
872	0.2382484494
873	0.2381675229
874	0.237943165
875	0.2376878137
876	0.2373424761
877	0.237136266
878	0.2367162824
879	0.2364341922
880	0.2361394321
881	0.2358759582
882	0.2358104234
883	0.2354003624
884	0.2351488503
885	0.2349380057
886	0.2346453473
887	0.2345050811
888	0.2343134176
889	0.2337666986
890	0.2335584865
891	0.2333562078
892	0.2330742952
893	0.2329140236
894	0.2327883406
895	0.2326357557
896	0.2324337112
897	0.2322624568
898	0.2318754149
899	0.2316813659
900	0.2312821257
901	0.2310512463
902	0.2305894
903	0.2302693614
904	0.2297564402
905	0.2296296551
906	0.2294148521
907	0.2291998947
908	0.2290400506
909	0.228763199
910	0.2284700283
911	0.2281370952
912	0.2279097949
913	0.2278518421
914	0.2276931395
915	0.2273315652
916	0.2271188502
917	0.2270545503
918	0.2266232613
919	0.2264409245
920	0.2263127676
921	0.2261578501
922	0.2260259994
923	0.2258235999
924	0.2256666995
925	0.2255458077
926	0.2252086159
927	0.2248832291
928	0.2246512635
929	0.2244244228
930	0.2241436627
931	0.2239446386
932	0.2236006875
933	0.2234059203
934	0.2232855196
935	0.223189877
936	0.2229676024
937	0.2227888731
938	0.2225246215
939	0.2224141929
940	0.221982374
941	0.221570166
942	0.2213573558
943	0.2211744553
944	0.2208695395
945	0.2207039424
946	0.2205138271
947	0.2203496668
948	0.2199463683
949	0.2197292613
950	0.2196372635
951	0.2194154925
952	0.2191944285
953	0.2188946106
954	0.218591492
955	0.218299451
956	0.2179758313
957	0.2177141586
958	0.2174521392
959	0.2170860612
960	0.2169575386
961	0.2166704301
962	0.2165265448
963	0.216426316
964	0.2162200496
965	0.2160672192
966	0.2158271373
967	0.2155435198
968	0.2151090596
969	0.2148529252
970	0.21468346
971	0.2145165831
972	0.2143007727
973	0.2138481958
974	0.2134908585
975	0.2132456056
976	0.2129725463
977	0.2126842881
978	0.2125066948
979	0.2123286877
980	0.2122612866
981	0.2120413751
982	0.2119119882
983	0.2116239024
984	0.2113413157
985	0.2112781589
986	0.211003387
987	0.2108419872
988	0.2105327243
989	0.2103705076
990	0.2101806771
991	0.2099474662
992	0.2098557929
993	0.2096866235
994	0.2096127273
995	0.2094038806
996	0.2093013783
997	0.2090148628
998	0.2087665177
999	0.208504166
